2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   | held mutexes= "abort lock" "mutator lock"(shared held)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #00 pc 002e98e3  /system/lib/libart.so (art::DumpNativeStack(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, int, BacktraceMap*, char const*, art::ArtMethod*, void*)+130)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #01 pc 0037a801  /system/lib/libart.so (art::Thread::DumpStack(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, bool, BacktraceMap*, bool) const+204)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #02 pc 00376f37  /system/lib/libart.so (art::Thread::Dump(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, bool, BacktraceMap*, bool) const+34)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #03 pc 0038e2d3  /system/lib/libart.so (art::DumpCheckpoint::Run(art::Thread*)+698)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #04 pc 00387e4d  /system/lib/libart.so (art::ThreadList::RunCheckpoint(art::Closure*, art::Closure*)+320)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #05 pc 003877d9  /system/lib/libart.so (art::ThreadList::Dump(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, bool)+160)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #06 pc 00367eb9  /system/lib/libart.so (art::AbortState::Dump(std::__1::basic_ostream<char, std::__1::char_traits<char>>&) const+188)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #07 pc 0035c925  /system/lib/libart.so (art::Runtime::Abort(char const*)+132)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #08 pc 00421b2d  /system/lib/libart.so (android::base::LogMessage::~LogMessage()+452)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #09 pc 001d6d95  /system/lib/libart.so (art::IndirectReferenceTable::AbortIfNoCheckJNI(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> const&)+164)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #10 pc 002533b7  /system/lib/libart.so (art::IndirectReferenceTable::GetChecked(void*) const+262)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #11 pc 0037ea09  /system/lib/libart.so (art::Thread::DecodeJObject(_jobject*) const+52)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #12 pc 00357eaf  /system/lib/libart.so (art::ArgArray::BuildArgArrayFromJValues(art::ScopedObjectAccessAlreadyRunnable const&, art::ObjPtr<art::mirror::Object>, jvalue*)+138)
2019-09-17 17:02:38.207 9807-10176/? A/zygote: runtime.cc:523]   native: #13 pc 00357cfd  /system/lib/libart.so (art::InvokeWithJValues(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, jvalue*)+288)
